typecode,class
A10,military
A124,cargo
A140,turboprop
A148,regional
A158,regional
A178,cargo
A19N,narrowbody
A20N,narrowbody
A210,piston
A21N,narrowbody
A225,cargo
A306,widebody
A30B,widebody
A310,widebody
A318,narrowbody
A319,narrowbody
A320,narrowbody
A321,narrowbody
A332,widebody
A333,widebody
A337,widebody
A338,widebody
A339,widebody
A342,widebody
A343,widebody
A345,widebody
A346,widebody
A358,widebody
A359,widebody
A35K,widebody
A388,widebody
A3ST,cargo
A5,unknown
A50,military
A500,piston
A743,cargo
AA1,warbird
AA5,unknown
AAT3,piston
AAT4,unknown
AC11,unknown
AC4,unknown
AC50,piston
AC68,unknown
AC6L,unknown
AC90,unknown
AC95,unknown
ACAM,unknown
ACAR,unknown
AE45,unknown
AEST,unknown
AFOX,unknown
AJ27,regional
AJET,military
ALIG,unknown
ALSL,unknown
AN12,cargo
AN2,piston
AN22,cargo
AN24,turboprop
AN28,turboprop
AN30,military
AN32,cargo
AN38,turboprop
AN70,military
AN72,cargo
AP22,unknown
AP32,piston
APM2,unknown
APM3,unknown
AR11,unknown
AR15,unknown
ARCE,unknown
ARCP,unknown
ARV1,unknown
AS02,unknown
AS16,unknown
AS22,unknown
AS25,unknown
AS26,unknown
AS31,unknown
ASTO,piston
ASTR,business
AT3T,unknown
AT43,turboprop
AT45,turboprop
AT46,turboprop
AT5T,unknown
AT6T,unknown
AT72,turboprop
AT73,turboprop
AT75,turboprop
AT76,turboprop
AT8T,agricultural
ATL,unknown
ATP,turboprop
AUS5,unknown
AV68,unknown
AVID,unknown
B14A,unknown
B18T,unknown
B190,turboprop
B209,unknown
B24,piston
B25,unknown
B26,unknown
B350,turboprop
B36T,unknown
B37M,narrowbody
B38M,narrowbody
B39M,narrowbody
B461,unknown
B462,regional
B463,regional
B58T,piston
B703,narrowbody
B712,narrowbody
B720,narrowbody
B721,narrowbody
B722,narrowbody
B732,narrowbody
B733,narrowbody
B734,narrowbody
B735,narrowbody
B736,narrowbody
B737,narrowbody
B738,narrowbody
B739,narrowbody
B741,widebody
B742,widebody
B743,widebody
B744,widebody
B748,widebody
B74R,widebody
B74S,widebody
B752,narrowbody
B753,narrowbody
B762,widebody
B763,widebody
B764,widebody
B772,widebody
B773,widebody
B778,widebody
B779,widebody
B77L,widebody
B77W,widebody
B788,widebody
B789,widebody
B78X,widebody
BA11,narrowbody
BCS1,regional
BCS3,regional
BD4,unknown
BDOG,unknown
BE10,unknown
BE17,unknown
BE18,unknown
BE19,unknown
BE20,turboprop
BE23,unknown
BE24,unknown
BE30,turboprop
BE33,unknown
BE35,piston
BE36,piston
BE40,business
BE4W,business
BE50,unknown
BE55,unknown
BE58,piston
BE60,unknown
BE65,piston
BE76,piston
BE77,unknown
BE80,unknown
BE95,unknown
BE99,turboprop
BE9L,turboprop
BE9T,unknown
BEAR,unknown
BER2,other
BL17,unknown
BL8,unknown
BLCF,cargo
BN2P,piston
BN2T,unknown
BOLT,unknown
BR60,unknown
BRAV,piston
BREZ,piston
BROU,unknown
BT36,unknown
BU31,unknown
BX2,piston
C06T,unknown
C120,unknown
C130,cargo
C133,cargo
C140,unknown
C15,cargo
C150,unknown
C152,piston
C160,cargo
C162,piston
C170,piston
C172,piston
C175,unknown
C177,unknown
C180,unknown
C182,piston
C185,unknown
C188,piston
C190,unknown
C195,unknown
C205,unknown
C206,piston
C207,unknown
C208,turboprop
C210,piston
C212,cargo
C240,unknown
C25A,business
C25B,business
C25C,business
C25M,unknown
C27J,military
C303,unknown
C30J,military
C310,piston
C320,unknown
C335,unknown
C337,unknown
C340,piston
C402,piston
C404,unknown
C414,piston
C42,piston
C421,piston
C425,turboprop
C441,turboprop
C46,piston
C5,military
C500,unknown
C501,unknown
C510,business
C525,business
C550,business
C551,business
C55B,business
C560,business
C56X,business
C5M,military
C650,business
C680,business
C68A,unknown
C700,business
C72R,unknown
C750,business
C77R,unknown
C82R,unknown
C82S,piston
C82T,unknown
C919,narrowbody
C97,cargo
CA41,unknown
CAT,piston
CC19,unknown
CE43,unknown
CH30,unknown
CH60,unknown
CH70,unknown
CH7A,unknown
CH7B,unknown
CL2P,piston
CL2T,unknown
CL30,business
CL35,unknown
CL60,business
CN35,unknown
CNBR,warbird
COL3,unknown
COL4,unknown
COUR,unknown
COY2,unknown
CP10,unknown
CP13,unknown
CP23,unknown
CP30,unknown
CRER,unknown
CRES,unknown
CRJ1,regional
CRJ2,regional
CRJ7,regional
CRJ9,regional
CRJX,regional
CRUZ,unknown
CT4,unknown
CVLP,piston
CVLT,unknown
D11,unknown
D140,unknown
D150,unknown
D228,turboprop
D250,piston
D253,unknown
D28D,unknown
D28T,unknown
D31,unknown
D328,turboprop
DA40,piston
DA42,piston
DA50,unknown
DA62,piston
DAL4,unknown
DC10,widebody
DC3,piston
DC3S,unknown
DC3T,turboprop
DC6,piston
DC7,other
DC87,narrowbody
DC91,narrowbody
DC92,narrowbody
DC93,narrowbody
DC94,narrowbody
DC95,narrowbody
DG1T,unknown
DG40,unknown
DG50,unknown
DG60,unknown
DG80,unknown
DH2T,unknown
DH60,unknown
DH82,unknown
DH85,unknown
DH87,unknown
DH89,unknown
DH8A,turboprop
DH8B,turboprop
DH8C,turboprop
DH8D,turboprop
DHC2,piston
DHC3,piston
DHC4,cargo
DHC5,turboprop
DHC6,turboprop
DHC7,turboprop
DIMO,piston
DISC,unknown
DO27,unknown
DO28,unknown
DOVE,unknown
DR10,unknown
DR22,unknown
DR30,piston
DR40,unknown
DUOD,unknown
DV1,unknown
DV20,unknown
E110,unknown
E120,turboprop
E135,regional
E145,regional
E170,regional
E190,regional
E195,regional
E200,unknown
E230,unknown
E275,regional
E290,regional
E295,regional
E300,piston
E35L,regional
E400,unknown
E45X,regional
E500,turboprop
E50P,business
E545,business
E550,business
E55P,business
E75L,regional
E75S,regional
EA50,business
ECHO,piston
EDGE,unknown
EFOX,piston
EGRT,unknown
ELIT,unknown
ELSP,unknown
EPIC,unknown
ERCO,piston
EUPA,piston
EV97,piston
EVIC,unknown
EVOT,unknown
EVSS,unknown
EXPR,unknown
F100,regional
F15,military
F16,military
F27,turboprop
F28,regional
F2TH,business
F406,turboprop
F50,turboprop
F70,regional
F86,warbird
F8L,unknown
F900,business
FA01,unknown
FA10,business
FA20,business
FA24,unknown
FA50,business
FA5X,business
FA62,piston
FA7X,business
FA8X,business
FAET,piston
FBA2,unknown
FDCT,piston
FGTL,military
FK12,unknown
FK14,piston
FK9,unknown
FLCO,military
FM25,unknown
FOUG,warbird
FOX,unknown
FURY,unknown
FUSI,unknown
G103,unknown
G109,unknown
G150,business
G159,unknown
G200,business
G21,unknown
G21T,unknown
G250,business
G280,business
G2GL,warbird
G2T1,unknown
G3,unknown
G44,piston
G70,unknown
G73,unknown
G73T,unknown
GA10,unknown
GA5C,business
GA6C,business
GA7,unknown
GA8,unknown
GALX,business
GC1,unknown
GL5T,business
GL7T,business
GLAS,unknown
GLEX,business
GLF2,business
GLF3,business
GLF4,business
GLF5,business
GLF6,business
GLSP,unknown
GLST,unknown
GNAT,warbird
GOLF,piston
GP4,unknown
GSPN,business
GX,piston
GY20,unknown
GY80,piston
H207,unknown
H25A,business
H25B,business
H25C,business
HA4T,business
HAWK,military
HB23,unknown
HDJT,business
HN70,unknown
HR10,unknown
HR20,unknown
HUNT,warbird
HURI,unknown
HUSK,piston
HYPR,unknown
IL38,military
IL62,narrowbody
IL76,cargo
IL86,widebody
IL96,widebody
IR23,unknown
IS28,unknown
J1,unknown
J3,unknown
J328,regional
J4,unknown
JAB2,unknown
JAB4,piston
JABI,unknown
JANU,unknown
JB15,unknown
JK05,unknown
JPRO,warbird
JS31,turboprop
JS32,turboprop
JS41,turboprop
JUNR,unknown
KC39,cargo
KL07,unknown
KODI,turboprop
KP2,piston
KP5,unknown
KR2,unknown
KR30,unknown
L101,widebody
L12,unknown
L13S,unknown
L188,turboprop
L200,unknown
L29A,business
L29B,business
L39,military
L40,unknown
L410,turboprop
L5,unknown
L8,unknown
LA25,unknown
LA4,unknown
LA8,unknown
LANC,unknown
LEG2,unknown
LGEZ,unknown
LJ24,business
LJ25,business
LJ28,business
LJ31,business
LJ35,business
LJ40,business
LJ45,business
LJ55,unknown
LJ60,business
LJ70,unknown
LJ75,unknown
LNC2,unknown
LNC4,unknown
LNCE,unknown
LNP4,unknown
M108,unknown
M200,unknown
M20P,piston
M20T,piston
M212,unknown
M28,turboprop
M5,unknown
M6,unknown
M600,unknown
M7,unknown
MA60,turboprop
MAGC,piston
MC23,narrowbody
MCR1,piston
MCR4,piston
MD11,widebody
MD81,narrowbody
MD82,narrowbody
MD83,narrowbody
MD87,narrowbody
MD88,narrowbody
MD90,narrowbody
MIMU,unknown
MOR2,unknown
MRJ7,regional
MRJ9,regional
MS76,warbird
MU2,turboprop
MU30,business
NAVI,unknown
NG4,unknown
NG5,piston
NIMB,unknown
NNJA,unknown
NOMA,unknown
O1,unknown
ONE,unknown
OSCR,unknown
P06T,piston
P1,military
P149,unknown
P180,business
P1HH,military
P208,piston
P210,unknown
P212,unknown
P28A,piston
P28B,unknown
P28R,piston
P28S,unknown
P28T,piston
P28U,piston
P32R,unknown
P32T,unknown
P337,unknown
P39,unknown
P40,unknown
P46T,turboprop
P51,unknown
P63,unknown
P66P,unknown
P68,piston
P68T,unknown
P750,turboprop
P82,piston
PA11,unknown
PA12,unknown
PA14,unknown
PA15,unknown
PA16,unknown
PA17,unknown
PA18,unknown
PA20,unknown
PA22,unknown
PA23,unknown
PA24,unknown
PA25,unknown
PA27,piston
PA30,unknown
PA31,piston
PA32,unknown
PA34,piston
PA38,piston
PA44,piston
PA46,piston
PAT4,unknown
PAY1,turboprop
PAY2,turboprop
PAY3,turboprop
PAY4,unknown
PC12,turboprop
PC24,unknown
PC6T,turboprop
PELI,unknown
PETR,unknown
PIAT,unknown
PICO,unknown
PINO,unknown
PISI,unknown
PITA,unknown
PIVI,unknown
PL2,unknown
PNR2,unknown
PNR3,unknown
PNR4,unknown
PP3,unknown
PRIM,piston
PRM1,business
PT80,unknown
PTMS,unknown
PTS1,unknown
PTS2,unknown
PULS,unknown
PUP,unknown
PZ04,unknown
PZ4M,unknown
Q2,military
Q4,military
Q9,military
R100,unknown
R200,piston
R300,unknown
R721,narrowbody
R90F,unknown
R90R,unknown
RALL,unknown
RBEL,unknown
RENE,unknown
RF10,unknown
RF3,unknown
RF4,unknown
RF5,unknown
RF6,piston
RJ1H,regional
RJ70,regional
RJ85,regional
RODS,unknown
RV10,unknown
RV12,piston
RV14,unknown
RV3,unknown
RV4,unknown
RV6,unknown
RV7,piston
RV8,piston
RV9,unknown
S10,unknown
S108,unknown
S10S,unknown
S12,unknown
S12S,unknown
S22T,piston
S2P,military
S3,warbird
S450,unknown
S6,unknown
SA30,unknown
SATA,warbird
SAVG,unknown
SB20,turboprop
SBR1,business
SC01,unknown
SC7,unknown
SD4,unknown
SF23,unknown
SF25,piston
SF28,unknown
SF34,turboprop
SF50,business
SGUP,cargo
SH33,turboprop
SH36,turboprop
SHRK,piston
SIRA,piston
SJ30,unknown
SKAR,piston
SKRA,piston
SKYR,unknown
SLG2,piston
SLG4,piston
SMAX,unknown
SPIT,unknown
SR20,piston
SR22,piston
SREY,unknown
ST75,unknown
STAR,unknown
STCH,unknown
STRM,unknown
SU26,unknown
SU95,regional
SUBA,unknown
SV4,unknown
SVNH,piston
SW2,unknown
SW3,unknown
SW4,turboprop
SX30,unknown
SYMP,unknown
T134,regional
T154,narrowbody
T18,unknown
T204,narrowbody
T206,piston
T210,piston
T28,unknown
T33,warbird
T34P,unknown
T34T,warbird
T35,unknown
T6,unknown
TAIL,unknown
TAMP,unknown
TARR,piston
TAYD,unknown
TB20,piston
TB21,piston
TBM,unknown
TBM7,turboprop
TBM8,turboprop
TBM9,turboprop
TEX2,military
TFK2,unknown
TFUN,unknown
TL20,piston
TL30,piston
TOBA,unknown
TOUR,piston
TRAL,unknown
TRF1,unknown
TRIM,unknown
TRIS,piston
TWEN,unknown
TWST,unknown
U16,piston
U2,military
U21,unknown
UF10,piston
UF13,unknown
V10,warbird
VAMP,warbird
VELO,unknown
VELT,unknown
VENT,unknown
VEZE,unknown
VF14,regional
VL3,piston
VM1,unknown
VNTR,unknown
VO10,unknown
VTOR,turboprop
VTUR,unknown
WA40,unknown
WA42,unknown
WA50,unknown
WACF,unknown
WILT,unknown
WT9,piston
WW24,business
XA41,unknown
XA42,unknown
XL2,piston
Y12,unknown
Y12F,unknown
Y18T,unknown
YK40,regional
YK42,narrowbody
YK50,unknown
Z26,unknown
Z42,unknown
Z43,unknown
ZEPH,piston
