typecode,min_rnw_length
A388,1541
B748,1524
B77L,1545
B77W,1240
A359,1819
A35K,1827
B744,1524
A338,1673
A339,1673
A345,1701
A346,1652
B772,1180
B773,1524
A332,1339
A333,1507
A342,1829
A343,1645
B788,1545
B789,1519
B78X,1443
MD11,2087
B764,1219
B762,1219
B763,1219
A306,1023
B753,1015
B752,882
B37M,929
B38M,914
B39M,956
A19N,1194
A20N,1192
A21N,1219
E295,885
BCS1,991
BCS3,967
B737,914
B738,914
B739,914
A318,1219
A319,1194
A320,1192
A321,1219
E290,832
E190,834
E195,884
E75L,659
DH8D,691
CRJX,1064
E170,652
E75S,659
CRJ7,1280
CRJ9,1146
E45X,1200
E145,1200
