typecode,natsgroup
A388,1
SLCH,1
B748,1
B744,1
A124,2
A225,1
B741,1
B743,1
B74D,1
B74R,1
A345,1
C5,1
C5M,1
A346,1
B742,1
B74S,1
B778,1
B779,1
B77W,1
BLCF,1
B77L,1
A35K,1
B773,1
B772,1
MD11,2
A343,1
A342,1
A358,1
A359,1
DC10,2
IL96,2
B789,1
B78X,1
A338,1
A339,1
AN22,2
A332,1
B788,1
IL86,2
B1,3
B2,4
B52,2
FGTL,2
T160,3
T22M,3
TU22,3
TU95,2
A333,1
B764,2
C17,2
L101,2
A400,4
A50,4
IL76,2
B763,2
E767,2
A306,2
A30B,2
IL62,4
B762,2
E3CF,4
E3TF,4
A337,1
A3ST,2
DC85,4
DC86,4
DC87,4
E6,4
KE3,4
A310,2
C141,4
B703,4
C135,4
K35A,4
K35E,4
K35R,4
KC2,4
R135,4
VC10,4
B753,4
B701,4
B720,4
B721,5
B752,4
T204,5
C15,5
T154,5
A21N,5
B39M,5
B722,5
R722,5
B739,5
A321,5
KC39,5
B37M,5
B38M,5
P1,5
BELF,6
C130,6
C133,6
CL44,6
DC7,6
IL18,6
A19N,5
A20N,5
C919,5
MC23,5
B738,5
E737,5
NIM,5
P8,5
A320,5
AN70,6
B17,6
C30J,6
C97,6
IL38,6
MD83,5
MD90,5
R721,5
B737,5
BCS3,7
A319,5
A318,5
B734,5
MD81,5
MD82,5
MD87,5
MD88,5
B736,5
BCS1,7
E295,7
B733,5
AN12,6
P3,6
B735,5
E290,7
S210,7
YK42,5
B712,5
DC91,5
B732,5
E195,7
A178,5
E190,7
DC92,5
DC94,5
DC95,5
DC93,5
ATLA,6
B24,6
C123,6
C160,6
C2,6
CONI,6
L188,6
SGUP,6
B731,5
T134,5
SU95,7
GL7T,5
GLEX,5
GLF6,7
RJ1H,7
B463,5
RJ70,7
RJ85,7
A158,7
A743,5
AN72,5
F100,7
A148,7
AJ27,7
MRJ7,7
MRJ9,7
B461,5
B462,5
GA6C,7
GL5T,5
CRJX,7
GLF5,7
BER2,5
E275,7
E75L,7
E75S,7
F70,7
BA11,5
E170,7
CRJ7,7
CRJ9,7
F111,3
F14,3
F15,3
F22,3
J20,3
MG25,3
MG31,3
MIR4,3
SU27,3
T50S,3
F28,7
BE12,8
C27J,8
DC6,8
E2,8
FA5X,7
FA7X,7
FA8X,7
GA5C,7
GLF2,7
GLF3,5
GLF4,7
DH8D,8
AN32,8
E45X,7
AN26,8
AN30,8
CRJ1,7
DHC7,8
A10,7
A3,7
A6,7
C1,7
F117,7
P82,8
S3,7
WB57,7
CRJ2,7
AT76,8
