oag,icao
100,F100
141,B461
142,B462
143,B463
146,B462
221,BCS1
223,BCS3
290,E290
310,A310
312,A310
313,A310
318,A318
319,A319
320,A320
321,A321
330,A332
332,A332
333,A333
339,A339
340,A343
342,A342
343,A343
345,A345
346,A346
350,A359
351,A35K
359,A359
380,A388
388,A388
703,B703
707,B703
717,B712
721,B721
722,B722
727,B722
731,B731
732,B732
733,B733
734,B734
735,B735
736,B736
737,B737
738,B738
739,B739
741,B741
742,B742
743,B743
744,B744
747,B744
752,B752
753,B753
757,B752
762,B762
763,B763
764,B764
767,B763
772,B772
773,B773
777,B773
781,B78X
787,B788
788,B788
789,B789
14F,B462
14X,B461
14Y,B462
14Z,B463
31B,A319
31F,A310
31X,A310
31Y,A310
32A,A320
32B,A321
32N,A20N
32Q,A21N
32S,A320
33F,A332
33X,A332
38F,A388
70F,B703
70M,B703
72A,B722
72B,B721
72C,B722
72F,B722
72M,B722
72S,B722
72X,B721
72Y,B722
73A,B732
73C,B733
73E,B735
73F,B737
73G,B737
73H,B738
73J,B739
73L,B738
73M,B732
73N,B738
73P,B737
73Q,B738
73R,B738
73S,B732
73W,B737
73X,B732
73Y,B733
74B,BLCF
74C,B742
74D,B743
74E,B744
74F,B744
74H,B748
74J,B744
74L,B74S
74M,B744
74N,B748
74R,B74R
74T,B741
74U,B743
74V,B74R
74X,B742
74Y,B744
75F,B752
75M,B752
75T,B753
75V,B752
75W,B752
76F,B763
76V,B763
76W,B763
76X,B762
76Y,B763
77F,B77L
77L,B77L
77W,B77W
77X,B77L
7M8,B38M
7M9,B39M
7S8,B738
A26,AN26
A28,AN28
A30,AN30
A32,AN32
A38,AN38
A380,A388
A40,A140
A4F,A124
A58,A158
A81,A148
AB3,A30B
AB4,A30B
AB6,A306
ABB,A3ST
ABF,A30B
ABX,A30B
ABY,A306
ACD,AC50
ACP,AC68
ACT,AC90
AGH,A109
ALM,LOAD
AN4,AN24
AN6,AN26
AN7,AN72
ANF,AN12
APH,PUMA
AR1,RJ1H
AR7,RJ70
AR8,RJ85
ARJ,RJ85
ARX,RJ85
AT4,AT43
AT5,AT45
AT7,AT72
ATF,AT75
ATP,ATP
ATR,AT76
ATZ,AT43
AWH,A109
AX1,RX1H
AX8,RX85
B11,BA11
B12,BA11
B13,BA11
B14,BA11
B15,BA11
B72,B720
BE1,B190
BE2,BE65
BE4,BE40
BE9,BE20
BEC,BE20
BEH,B190
BEP,BE58
BES,B190
BET,B190
BH2,HELI
BNI,BN2P
BNT,TRIS
BUS,GRND
C27,AJ27
CCJ,CL60
CCX,GLEX
CD2,NOMA
CJ8,C68A
CL3,CL30
CL4,CL44
