name,fuel_cycle,fuel_nl,fuel_ecs,fuel_mes,co_cycle,co_nl,co_ecs,co_mes,hc_cycle,hc_nl,hc_ecs,hc_mes,nox_cycle,nox_nl,nox_ecs,nox_mes,pm10_cycle,pm10_nl,pm10_ecs,pm10_mes,nvpm_cycle,nvpm_nl,nvpm_ecs,nvpm_mes,nvpmnum_cycle,nvpmnum_nl,nvpmnum_ecs,nvpmnum_mes
APS2000,0.018888889,,,,6.410294118,,,,0.605882353,,,,4.558823529,,,,0.911764706,,,,,,,,,,,
APS2300,0.029722222,,,,17.94485981,,,,1.027102804,,,,4.738317757,,,,1.448598131,,,,,,,,,,,
APS3200,0.034722222,,,,4.516,,,,0.3424,,,,6.144,,,,0.744,,,,,,,,,,,
APS5000,0.030555556,,,,4.106363636,,,,0.427272727,,,,9.456363636,,,,0.906363636,,,,,,,,,,,
GTCP131-9A,0.034722222,,,,4.516,,,,0.3424,,,,6.144,,,,0.744,,,,,,,,,,,
GTCP131-9B,0.034722222,,,,4.516,,,,0.3424,,,,6.144,,,,0.744,,,,,,,,,,,
GTCP131-9N,0.031388889,,,,4.495575221,,,,0.340707965,,,,6.116814159,,,,0.740707965,,,,,,,,,,,
GTCP331-200,0.033888889,,,,4.113934426,,,,0.428688525,,,,9.47295082,,,,0.908196721,,,,,,,,,,,
GTCP331-250,0.033888889,,,,5.204918033,,,,0.557377049,,,,12.75245902,,,,0.595081967,,,,,,,,,,,
GTCP331-250H,0.033888889,,,,5.204918033,,,,0.557377049,,,,12.75245902,,,,0.595081967,,,,,,,,,,,
GTCP331-350,0.053333333,,,,1.990625,,,,0.246354167,,,,10.5953125,,,,0.577083333,,,,,,,,,,,
GTCP331-350C,0.053333333,,,,1.990625,,,,0.246354167,,,,10.5953125,,,,0.577083333,,,,,,,,,,,
GTCP331-500B,0.067777778,,,,1.883196721,,,,0.199180328,,,,11.3692623,,,,0.454098361,,,,,,,,,,,
GTCP331-600,0.080555556,,,,1.584482759,,,,0.167586207,,,,9.565862069,,,,0.382068966,,,,,,,,,,,
GTCP36-100E,0.031944444,,,,17.90956522,,,,0.327826087,,,,3.069565217,,,,0.539130435,,,,,,,,,,,
GTCP36-100N,0.031944444,,,,17.90956522,,,,0.327826087,,,,3.069565217,,,,0.539130435,,,,,,,,,,,
GTCP36-150,0.018888889,,,,6.410294118,,,,0.605882353,,,,4.558823529,,,,0.911764706,,,,,,,,,,,
GTCP36-150N,0.018888889,,,,6.410294118,,,,0.605882353,,,,4.558823529,,,,0.911764706,,,,,,,,,,,
GTCP36-150RJ,0.018888889,,,,6.410294118,,,,0.605882353,,,,4.558823529,,,,0.911764706,,,,,,,,,,,
GTCP36-300-4,0.035555556,,,,1.60546875,,,,0.1171875,,,,7.91015625,,,,0.484375,,,,,,,,,,,
GTCP660-4,0.108888889,,,,7.677040816,,,,0.248469388,,,,4.730612245,,,,0.593112245,,,,,,,,,,,
GTCP85-129,0.029722222,,,,17.94485981,,,,1.027102804,,,,4.738317757,,,,1.448598131,,,,,,,,,,,
GTCP85-98CK,0.029722222,,,,17.94485981,,,,1.027102804,,,,4.738317757,,,,1.448598131,,,,,,,,,,,
GTCP85-98DHF,0.029722222,,,,17.94485981,,,,1.027102804,,,,4.738317757,,,,1.448598131,,,,,,,,,,,
HGT1700,0.0725,,,,1.58467433,,,,0.167816092,,,,9.565900383,,,,0.381992337,,,,,,,,,,,
PW901A,0.108888889,,,,16.75510204,,,,1.497704082,,,,3.145408163,,,,2.866836735,,,,,,,,,,,
PW901C,0.064444444,,,,28.31034483,,,,2.530603448,,,,5.314655172,,,,4.843965517,,,,,,,,,,,
PW980A,0.130555556,,,,13.97446809,,,,1.249148936,,,,2.623404255,,,,2.39106383,,,,,,,,,,,
PW980A-N,0.130555556,,,,13.97446809,,,,1.249148936,,,,2.623404255,,,,2.39106383,,,,,,,,,,,
RE220(GX),0.018888889,,,,6.410294118,,,,0.605882353,,,,4.558823529,,,,0.911764706,,,,,,,,,,,
TSCP700-4E,0.040833333,,,,5.329251701,,,,0.528571429,,,,11.75782313,,,,0.748979592,,,,,,,,,,,
acrp_narrowbody,0.03150864,0.021,0.033,0.038,9.219699474,31.75,5.72,4.94,1.251262209,6.53,0.43,0.29,6.681442524,5.45,6.85,7.64,,,,,,,,,,,,
acrp_widebody,0.050016529,0.035,0.052,0.064,2.369151014,10.26,1.14,0.98,0.280383171,0.87,0.19,0.13,10.53898573,7.55,10.99,11.53,,,,,,,,,,,,
acrp_jumbo,0.057449935,0.033,0.061,0.058,1.565760728,9.38,0.53,0.53,0.208946684,0.88,0.12,0.12,10.04369311,7.41,10.3,11.2,,,,,,,,,,,,
acrp_regionaljet,0.018079639,0.012,0.019,0.02,6.441863261,6.26,6.47,6.48,0.650443276,1.69,0.49,0.42,5.093110443,6.14,4.93,4.91,,,,,,,,,,,,
acrp_turboprop,0.018079639,0.012,0.019,0.02,6.441863261,6.26,6.47,6.48,0.650443276,1.69,0.49,0.42,5.093110443,6.14,4.93,4.91,,,,,,,,,,,,
acrp_business,0.018079639,0.012,0.019,0.02,6.441863261,6.26,6.47,6.48,0.650443276,1.69,0.49,0.42,5.093110443,6.14,4.93,4.91,,,,,,,,,,,,
icao_simple_business,0.02962963,,,,3.875,,,,0.375,,,,8.75,,,,,,,,0.5,,,,7.19E+15,,,
icao_simple_shorthaul,0.02962963,,,,3.875,,,,0.375,,,,8.75,,,,,,,,0.5,,,,7.19E+15,,,
icao_simple_longhaul,0.066666667,,,,0.7,,,,0.533333333,,,,8,,,,,,,,0.166666667,,,,1.25E+15,,,
icao_adv_business,0.026881626,0.018888889,0.028055556,0.030555556,10.18093101,49.19117647,6.089108911,5.954545455,1.68103194,15.08823529,0.267326733,0.445454545,6.641848982,4.029411765,6.930693069,6.490909091,,,,,0.401068273,0.926470588,0.346534653,0.327272727,1.82E+15,1.24E+14,1.98E+15,2.42E+15
icao_adv_regional,0.026881626,0.018888889,0.028055556,0.030555556,10.18093101,49.19117647,6.089108911,5.954545455,1.68103194,15.08823529,0.267326733,0.445454545,6.641848982,4.029411765,6.930693069,6.490909091,,,,,0.401068273,0.926470588,0.346534653,0.327272727,1.82E+15,1.24E+14,1.98E+15,2.42E+15
icao_adv_small_new,0.029461975,0.021388889,0.030555556,0.036111111,6.944967061,38.28571429,3.509090909,4.176923077,1.321477651,9.909090909,0.390909091,0.269230769,6.318849614,4.987012987,6.381818182,8.676923077,,,,,0.251802791,0.74025974,0.2,0.161538462,8.24E+14,4.74E+14,8.62E+14,8.77E+14
icao_adv_small_old,0.03195634,0.019166667,0.033888889,0.036111111,8.66075417,21.4057971,7.598360656,5.661538462,0.446474053,1.811594203,0.327868852,0.269230769,5.917882473,4.768115942,6.008196721,6.353846154,,,,,0.475313802,0.695652174,0.459016393,0.361538462,9.35E+15,1.74E+16,8.69E+15,7.33E+15
icao_adv_medium,0.043649094,0.03,0.045555556,0.053055556,2.500179298,13.38888889,1.402439024,0.890052356,0.192341345,1,0.109756098,0.104712042,9.372700802,8.111111111,9.487804878,9.890052356,,,,,0.236305218,0.287037037,0.231707317,0.214659686,2.16E+15,2.65E+15,2.13E+15,1.75E+15
icao_adv_large_old,0.053293599,0.029444444,0.056111111,0.059444444,2.388598192,13.9245283,1.638613861,1.200934579,0.28699047,1.066037736,0.237623762,0.196261682,9.012297521,7.141509434,9.143564356,9.827102804,,,,,0.585903293,0.660377358,0.579207921,0.593457944,3.72E+15,1.99E+15,3.63E+15,5.51E+15
icao_adv_large_new,0.063727063,0.040555556,0.066111111,0.072777778,1.281518178,9.239726027,0.638655462,0.660305344,0.166356804,0.636986301,0.130252101,0.114503817,11.97804078,7.273972603,12.41596639,12.77480916,,,,,0.106647697,0.150684932,0.105042017,0.08778626,7.66E+14,3.97E+14,8.57E+14,3.14E+14
