typecode,uid,apu_adoption,apu,apu_acrp,apu_icao_adv,apu_icao_simple
A10,_TF34-GE-100-100A,0.0,none,none,none,none
A124,3GE078,1.0,unknown/unavailable,jumbo,large_old,longhaul
A140,_PW126A,1.0,unknown/unavailable,turboprop,regional,shorthaul
A148,13ZM003,1.0,unknown/unavailable,regionaljet,regional,shorthaul
A158,13ZM003,1.0,unknown/unavailable,regionaljet,regional,shorthaul
A178,13ZM004,1.0,avg_Narrowbody,narrowbody,small_new,shorthaul
A19N,01P22PW160,1.0,GTCP131-9N,narrowbody,small_new,shorthaul
A20N,01P20CM128,1.0,GTCP131-9N,narrowbody,small_new,shorthaul
A210,_Rotax 912S,0.0,none,none,none,none
A21N,01P20CM132,1.0,GTCP131-9N,narrowbody,small_new,shorthaul
A225,3GE078,1.0,unknown/unavailable,jumbo,large_old,longhaul
A306,1PW048,1.0,GTCP331-250H,widebody,medium,shorthaul
A30B,3GE074,1.0,TSCP700-4E,widebody,medium,shorthaul
A310,2GE037,1.0,GTCP331-250H,widebody,medium,shorthaul
A318,01P08CM109,1.0,GTCP131-9A,narrowbody,small_old,shorthaul
A319,01P08CM106,1.0,GTCP131-9A,narrowbody,small_old,shorthaul
A320,01P08CM105,1.0,GTCP131-9A,narrowbody,small_old,shorthaul
A321,01P08CM104,1.0,GTCP131-9A,narrowbody,small_old,shorthaul
A332,01P14RR102,1.0,GTCP331-350C,widebody,medium,longhaul
A333,5PW075,1.0,GTCP331-350C,widebody,medium,longhaul
A337,01P14RR102,1.0,GTCP331-350C,widebody,medium,longhaul
A338,01P19RR119,1.0,GTCP331-350C,widebody,medium,longhaul
A339,01P19RR119,1.0,GTCP331-350C,widebody,medium,longhaul
A342,1CM010,1.0,GTCP331-350C,jumbo,large_old,longhaul
A343,2CM015,1.0,GTCP331-350C,jumbo,large_old,longhaul
A345,8RR044,1.0,GTCP331-600,jumbo,large_old,longhaul
A346,8RR045,1.0,GTCP331-600,jumbo,large_old,longhaul
A358,01P18RR121,1.0,HGT1700,widebody,large_new,longhaul
A359,01P18RR124,1.0,HGT1700,widebody,large_new,longhaul
A35K,01P21RR124,1.0,HGT1700,widebody,large_new,longhaul
A388,01P18RR105,1.0,PW980A,jumbo,large_new,longhaul
A3ST,1GE020,1.0,GTCP331-350C,widebody,medium,shorthaul
A50,1AA002,1.0,avg_Jumbo,widebody,medium,longhaul
A743,13ZM002,1.0,unknown/unavailable,regionaljet,regional,shorthaul
AAT3,_Rotax 912S,0.0,none,none,none,none
AC50,_IO-540-T4A5D,0.0,none,none,none,none
AJ27,01P11GE202,1.0,APS2300,regionaljet,regional,shorthaul
AJET,1PW038,0.0,none,none,none,none
AN12,_T56-A-15,1.0,unknown/unavailable,turboprop,regional,shorthaul
AN2,_R-1820,0.0,none,none,none,none
AN22,19RR098,1.0,unknown/unavailable,widebody,medium,shorthaul
AN24,_T64-GE-6B,1.0,unknown/unavailable,turboprop,regional,shorthaul
AN28,_PT6A-50,1.0,unknown/unavailable,turboprop,regional,shorthaul
AN30,_T64-GE-6B,1.0,unknown/unavailable,turboprop,regional,shorthaul
