uid,Dtb_number,manufacturer,name,combustor_description,type,bp_ratio,pr,rated_thrust,Data_status,Data_superseded_on,Superseded_by_UID,Test_engine_status,Data_corr_as_Annex_16,Current_engine_status,Current_engine_status_date,hc_to,hc_co,hc_app,hc_idle,HC_number_tests,HC_number_engines,HC_avg,HC_sig,HC_min,HC_max,HC_characteristic,HC_characteristic_pct,HC_LTO_mass,co_to,co_co,co_app,co_idle,CO_number_tests,CO_number_engines,CO_avg,CO_sig,CO_min,CO_max,CO_characteristic,CO_characteristic_pct,CO_LTO_mass,nox_to,nox_co,nox_app,nox_idle,NOx_number_tests,NOx_number_engines,NOx_avg,NOx_sig,NOx_min,NOx_max,NOx_characteristic,NOx_characteristic_pct_original,NOx_characteristic_pct_CAEP2,NOx_characteristic_pct_CAEP4,NOx_characteristic_pct_CAEP6,NOx_characteristic_pct_CAEP8,NOx_compliance,NOx_LTO_mass,sn_to,sn_co,sn_app,sn_idle,SN_number_tests,SN_number_engines,sn_max,SN_sig,SN_range_min,SN_range_max,SN_characteristic,SN_characteristic_pct,Fuel_spec,Fuel_HC_ratio_min,Fuel_HC_ratio_max,Fuel_arom_min,Fuel_arom_max,fuel_to,fuel_co,fuel_app,fuel_idle,Fuel_LTO_cycle,Load_extracted,Load_extraction_power,Load_stage_bleed_CF_pct,Load_stage_bleed_power,Ambient_pressure_min,Ambient_pressure_max,Ambient_temperature_min,Ambient_temperature_max,Ambient_humidity_min,Ambient_humidity_max,Test_organization,Test_location,Test_date_initial,Test_date_final,Compliance_fuel_venting,Remark_1,Remark_2,Remark_3,Remark_4,Remark_5,Remark_6,Remark_7,Remark_8,nvpm_to,nvpm_co,nvpm_app,nvpm_idle,nvpmnum_to,nvpmnum_co,nvpmnum_app,nvpmnum_idle,wikipedia_link
1AS001,1,Allied Signal,TFE731-2-2B,,TF,2.64,13.9,15.6,PR,,,NME,,Out of production,,0.114,0.128,4.26,20.04,3,3,53.4,,50,58,62.3,317.6,823,1.394,2.03,22.38,58.6,3,3,169.4,,161,177,183.2,155.3,2612,15.25,13.08,5.9,2.82,3,3,40.5,,39,43,42.9,63.3,79.1,75.9,76.2,78.2,,630,,,,,,,,,,,,,ASTM D1655-73T,,,17,17,0.205,0.173,0.067,0.024,85,0,,0,,96.7,98.1,285,288,0.0066,0.0087,Allied Signal,Phoenix,01/12/1975,01/04/1976,,Not required to meet GASEOUS regulations,,,,,,,,,,,,,,,,
1AS002,1,Allied Signal,TFE731-3,,TF,2.64,14.3,16.5,PR,,,NME,,Out of production,,0.062,0.072,1.41,9.04,4,4,24,,19,25,27.4,139.8,393,1.13,1.62,15.56,47.7,4,4,137.7,,133,147,147.3,124.8,2254,19.15,16.02,6.92,3.72,4,4,51.4,,47,55,54,78.7,98.4,94.7,93.4,96,,845,,,,,,,,,,,,,ASTM D1655-73T,,,17,17,0.225,0.186,0.072,0.026,92,0,,0,,97,97.3,294,313,0.0039,0.0073,Allied Signal,Phoenix,01/02/1976,01/08/1976,,Not required to meet GASEOUS regulations,,,,,,,,,,,,,,,,
4AL003,4,Rolls-Royce Corporation,AE3007A,,MTF,5.23,18.08,33.73,C,,,DTEPS,Yes,Out of production,,0.25,0.29,0.64,2.51,3,2,6.65,,,,8.7,44.1,226,0.75,0.92,3.28,17.35,3,2,43.15,,,,49.2,41.7,1468,20.54,17.47,7.79,3.83,3,2,46.3,,,,50.9,66.8,83.6,85.6,86.6,92.4,,1563,1,0,0,0,3,2,1,,,,1.2,3.7,Jet A/JP-8,1.899,1.899,16.5,16.5,0.377,0.315,0.117,0.049,162,0,,0,,101.3,101.3,288,288,0.0063,0.0063,Allison Engine Company,"Indianapolis, Indiana",03/03/1994,19/04/1995,,,,,,,,,,,,,,,,,,
6AL004,6,Rolls-Royce Corporation,AE3007C1,,MTF,5.1,16.6,31.5,C,Yes,6AL023,DTEPS,Yes,Out of production,,0.24,0.28,0.66,4.84,3,2,10.95,,,,14.25,55.9,346,0.87,1.07,3.96,26.04,3,2,58.61,,,,66.78,56.6,1850,17.9,15.35,7.05,3.37,3,2,37.36,,,,41.08,56.1,70.2,71.3,71.9,76.4,,1175,1,0,0,0,3,2,1,,,,1.17,3.6,Jet A/JP-8,1.899,1.899,16.5,16.5,0.322,0.269,0.099,0.042,138,0,,0,,101.3,101.3,288,288,0.0063,0.0063,Rolls-Royce Corporation,"Indianapolis, Indiana",03/03/1994,19/04/1995,,Results based on Rolls Royce report EDR 15171B,,,,,,,,,,,,,,,,
6AL005,6,Rolls-Royce Corporation,AE3007A1,Type 1,MTF,4.77,17.97,34.91,R,,,DTEPS,Yes,Out of production,,0.221,0.257,0.655,3.818,3,2,8.78,,,,11.42,58.3,307,0.77,0.96,3.91,23.73,3,2,53.38,,,,60.82,51.5,1865,19.66,16.63,7.1,3.47,3,2,41.71,,,,45.87,60.4,75.5,77.6,78.7,84.2,,1456,1,0.01,0.01,0.01,3,2,1,,,,1.17,3.7,Jet A,1.9,1.9,16,20,0.3826,0.318,0.113,0.0461,157,0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",03/03/1994,19/04/1995,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Results are based on Rolls-Royce report EDR 15171B,"AE3007A1 data in this report replace data reported in ICAO databank under ID No. 4AL002, Rev 9",,,,,,,,,,,,,,
6AL006,6,Rolls-Royce Corporation,AE3007A1,Type 2,MTF,4.77,17.97,34.91,C,,,DTEPS,Yes,Out of production,,0,0,0.18,5.04,3,1,10.51,,,,16.19,82.6,367,0.12,0.01,1.36,32.59,3,1,68.2,,,,83.71,70.9,2383,22.41,19.58,7.2,3.19,3,1,46.02,,,,53.34,70.2,87.8,90.3,91.5,97.9,,1607,0.01,0.01,0.01,0.01,3,1,0.01,,,,0.01,0,Jet A,1.9,1.9,16,20,0.3826,0.318,0.113,0.0461,157,0,,0,,99.6,99.7,297,301,0.0115,0.0141,Rolls-Royce Corporation,"Indianapolis, Indiana",28/08/2002,29/08/2002,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for AE3007A1 egines fitted with PAB fuel nozzles,Results based on Rolls-Royce report EDR 19972,,,,,,,,,,,,,,
4AL002,4,Rolls-Royce Corporation,AE3007A1 series,,MTF,4.76,17.81,33.73,C,Yes,6AL005,DTEPS,Yes,Out of production,,0.26,0.3,0.72,3.1,3,2,8.33,,,,10.8,55.3,279,0.79,0.97,3.8,22.43,3,2,57.03,,,,65,55.1,1910,19.78,16.84,7.22,3.52,3,2,44.61,,,,49.1,64.9,81.1,83.1,84,89.8,,1502,1,0,0,0,3,2,1,,,,1.2,3.7,Jet A/JP-8,1.899,1.899,16.5,16.5,0.38,0.319,0.117,0.05,164,0,,0,,101.3,101.3,288,288,0.0063,0.0063,Allison Engine Company,"Indianapolis, Indiana",03/03/1994,19/04/1995,,"For AE3007A1,  A1/1, A1/2",,,,,,,,,,,,,,,,
6AL007,6,Rolls-Royce Corporation,AE3007A1,Type 3 (reduced emissions),MTF,4.77,17.97,34.91,C,Yes,01P06AL028,DTEPS,Yes,Out of production,,0.03,0.03,0.03,3.85,3,1,8.01,,,,12.34,63,279,0.75,0.56,6.72,39.91,3,1,88.38,,,,108.48,91.9,3088,16.17,14.07,7.13,4.17,3,1,38.49,,,,44.62,58.8,73.4,75.5,76.6,81.9,2.3.2 e),1344,0.01,0.01,0.01,0.01,3,1,0.01,,,,0.01,0,Jet A,1.9,1.9,16,20,0.3826,0.318,0.113,0.0461,157,0,,0,,98.9,99,291,301,0.009,0.012,Rolls-Royce Corporation,"Indianapolis, Indiana",09/06/2001,11/06/2001,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for AE3007A1 engine fitted with reduced emissions combustor and PAB fuel nozzles,Results based on Rolls-Royce report EDR 19587,,,,,,,,,,,,,,
6AL008,6,Rolls-Royce Corporation,AE3007A1/1,Type 1,MTF,4.77,17.9,34.74,C,,,DTEPS,Yes,Out of production,,0.222,0.258,0.658,3.92,3,2,9.01,,,,11.72,59.8,313,0.77,0.97,3.93,23.95,3,2,53.94,,,,61.46,52.1,1874,19.57,16.55,7.07,3.46,3,2,41.53,,,,45.67,60.3,75.3,77.4,78.4,83.9,,1442,1,0.01,0.01,0.01,3,2,1,,,,1.17,3.7,Jet A,1.9,1.9,16,20,0.3805,0.3163,0.1125,0.0459,156,0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",03/03/1994,19/04/1995,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Results based on Rolls-Royce report EDR 15171B,,,,,,,,,,,,,,,
6AL009,6,Rolls-Royce Corporation,AE3007A1/1,Type 2,MTF,4.77,17.9,34.74,C,,,DTEPS,Yes,Out of production,,0,0,0.18,5.1,3,1,10.67,,,,16.43,83.8,370,0,0,1.4,32.84,3,1,68.8,,,,84.45,71.6,2389,22.31,19.49,7.16,3.19,3,1,45.84,,,,53.14,70.1,87.6,90.1,91.3,97.6,,1592,0.01,0.01,0.01,0.01,3,1,0.01,,,,0.01,0,Jet A,1.9,1.9,16,20,0.3805,0.3163,0.1125,0.0459,156,0,,0,,99.6,99.7,297,301,0.0115,0.0141,Rolls-Royce Corporation,"Indianapolis, Indiana",28/08/2002,29/08/2002,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for A3007A1/1 fitted with PAB fuel nozzles,Results based on Rolls-Royce report EDR 19972,,,,,,,,,,,,,,
6AL010,6,Rolls-Royce Corporation,AE3007A1/1,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,C,Yes,01P06AL029,DTEPS,Yes,Out of production,,0.03,0.03,0.03,3.88,3,1,8.08,,,,12.44,63.5,280,0.74,0.55,6.8,40.07,3,1,88.9,,,,109.12,92.5,3088,16.1,14.01,7.12,4.17,3,1,38.38,,,,44.49,58.7,73.4,75.4,76.4,81.7,2.3.2 e),1333,0.01,0.01,0.01,0.01,3,1,0.01,,,,0.01,0,Jet A,1.9,1.9,16,20,0.3805,0.3163,0.1125,0.0459,156,0,,0,,98.9,99,291,301,0.009,0.012,Rolls-Royce Corporation,"Indianapolis, Indiana",09/06/2001,11/06/2001,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for AE3007A1/1 engine fitted with reduced emissions combustor & PAB fuel nozzles,Results based on Rolls-Royce report EDR 19587,,,,,,,,,,,,,,
6AL011,6,Rolls-Royce Corporation,AE3007A1/3,Type 1,MTF,4.81,17.22,33.05,C,,,DTEPS,Yes,Out of production,,0.233,0.269,0.689,4.64,3,2,10.8,,,,14.05,71.7,357,0.83,1.03,4.21,25.58,3,2,59.1,,,,67.34,57.1,1954,18.55,15.81,6.83,3.39,3,2,39.93,,,,43.91,59,73.7,75.4,76.2,81.2,,1319,1,0.01,0.01,0.01,3,2,1,,,,1.17,3.6,Jet A,1.9,1.9,16,20,0.3589,0.2999,0.1077,0.0449,151,0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",03/03/1994,19/04/1995,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Results based on Rolls-Royce report EDR 15171B,,,,,,,,,,,,,,,
